sub,mb_ma,it,lr
1,0.47540983606557374,2.05694073336803,0.15578549856265697
2,0.42857142857142855,7.046342778721289,0.38691835321023704
3,0.42857142857142855,1.64591589904803,0.142926938451526
4,0.5263157894736842,3.14566101758136,0.18444291678649602
5,0.3670886075949367,4.547761831971691,0.22627800289793104
6,0.4411764705882353,2.63459775340663,0.112186704062968
7,0.7346938775510204,24.2173528918395,0.0749566368018002
8,0.7,29.3690968925246,0.0332400485810543
9,0.5925925925925926,5.684868287902209,0.0442491935283815
10,0.49122807017543857,2.0075451376016,0.148781054448728
11,0.48333333333333334,6.08270325805833,0.14792543519065499
12,0.4375,5.01874864962099,0.161016383227311
13,0.23333333333333334,10.3968704746463,0.45832077264671706
14,0.4117647058823529,2.3437005388267997,0.175872370407726
15,0.5522388059701493,10.871809385522198,0.112871083766625
16,0.3968253968253968,4.36755737053895,0.22435165424420397
17,0.34375,5.398998629310991,0.248495564652364
18,0.53125,3.19410630688815,0.11865654294205001
19,0.4716981132075472,3.1995146099932903,0.13178628548738
20,0.48333333333333334,2.33094288414366,0.11207025836392401
21,0.45454545454545453,8.199854880753,0.0382954742048893
22,0.4230769230769231,5.83409921053298,0.062220943525969005
23,0.639344262295082,19.794250533026897,0.0502732578399034
24,0.39655172413793105,7.1749393416879705,0.163726569394154
25,0.39285714285714285,9.731493150183539,0.130559240527702
26,0.4307692307692308,2.00628085708987,0.16262446074898698
27,0.6470588235294118,23.497050640544895,0.0512443135650731
28,0.6,7.62171994937271,0.134912386639612
29,0.72,13.479653664952801,0.119589109458098
30,0.49019607843137253,3.4889780757940603,0.12035854589697599
31,0.5087719298245614,4.63318173019247,0.18557841708864398
32,0.3793103448275862,6.774431051125269,0.0854164516890544
33,0.5217391304347826,1.90144363953307,0.0950149774716465
34,0.42592592592592593,2.23277633101691,0.17404918672243397
35,0.46875,8.6436714711351,0.0413881045446791
36,0.2807017543859649,6.30395482339587,0.5145571773947271
37,0.509090909090909,0.8029899855437671,0.166209511927901
38,0.46551724137931033,2.9982575576588797,0.11925834219392299
39,0.41379310344827586,5.116495615081731,0.39351680844493203
40,0.4074074074074074,5.312464263737191,0.28061879639148807
41,0.4,2.34377231260001,0.209071805818869
42,0.3050847457627119,3.58357247605093,0.307157121527417
43,0.38571428571428573,2.7043457459375797,0.173308042253832
44,0.29577464788732394,1.789461805713,0.151125816409556
45,0.47368421052631576,28.0221614078807,0.278164551750237
46,0.40384615384615385,3.2996869380763,0.20008084619970803
47,0.5344827586206896,10.885872600635299,0.0543004504932076
48,0.42424242424242425,2.2072761517365698,0.20259934469854898
49,0.375,1.9054147261041998,0.174305106738623
50,0.5614035087719298,3.95772361422166,0.161779902348942
51,0.423728813559322,1.53794980526703,0.138025813268479
52,0.5434782608695652,7.208633527396481,0.413783834530197
53,0.56,12.3527894583427,0.12015799010278098
54,0.4166666666666667,9.24542902478039,0.204011209423627
55,0.2553191489361702,2.54553070814598,0.243762287310163
56,0.5873015873015873,2.07422901537523,0.0664631463163306
57,0.5454545454545454,5.8356472493077804,0.0326995958316186
58,0.3442622950819672,1.57526371747897,0.15664205898959602
59,0.5,5.252593843213781,0.108445469646748
60,0.4264705882352941,5.1384818196641,0.37699869375388206
61,0.3684210526315789,4.60139836349753,0.17809700813503698
62,0.5263157894736842,11.9432572594604,0.18172967697745604
63,0.5396825396825397,6.8156247381813,0.0860392428598822
64,0.3424657534246575,2.21726780039539,0.22405079347015197
65,0.5,5.665133456345661,0.0827272310849093
66,0.41379310344827586,1.98510105906935,0.169583324618362
