sub,MB_behav
774,59
775,57
776,72
777,63
778,57
779,50
780,66
781,61
782,73
783,56
784,56
785,19
786,62
787,53
788,63
789,56
790,66
791,33
792,59
793,77
794,54
795,68
796,66
797,56
798,75
799,80
800,67
801,65
802,52
803,39
804,46
805,62
806,22
807,50
808,65
809,76
810,64
811,50
812,59
813,29
814,71
815,55
816,62
817,73
818,74
819,56
820,42
821,61
822,80
823,59
824,66
825,70
826,62
827,68
828,83
829,67
830,52
831,61
832,57
833,44
834,56
835,61
836,62
837,52
838,62
839,52
840,65
841,66
842,56
843,53
844,37
845,46
846,67
847,70
848,67
849,49
850,68
851,59
852,71
853,67
854,76
855,58
856,67
857,65
858,77
859,67
860,50
861,50
862,55
863,52
864,66
865,56
866,38
867,55
868,58
869,65
870,58
871,57
872,48
873,52
874,81
875,69
876,74
877,58
878,64
879,65
880,62
881,40
882,91
883,48
884,67
885,61
886,63
887,53
888,61
889,68
890,70
891,70
892,78
893,42
894,37
895,67
896,73
897,67
898,49
899,55
900,58
901,64
902,62
903,70
904,79
905,56
906,66
907,44
908,75
909,39
910,79
911,52
912,43
913,70
914,67
915,62
916,52
917,43
918,62
919,58
920,65
921,69
922,54
923,47
924,60
925,65
926,82
927,64
928,36
929,43
930,54
931,65
932,55
933,77
934,35
935,59
936,67
937,63
938,57
939,33
940,63
941,74
942,45
943,65
944,84
945,62
946,55
947,65
948,64
949,47
950,42
951,68
952,51
953,66
954,59
955,70
956,66
957,51
958,53
959,61
960,48
961,57
962,64
963,67
964,56
965,55
966,28
967,74
968,51
969,51
970,55
971,62
972,54
973,48
974,48
975,47
976,54
977,65
978,64
979,51
980,68
981,49
982,76
983,56
984,45
985,56
986,42
987,67
988,54
989,79
990,51
991,60
992,79
993,65
994,54
995,50
996,58
997,66
998,76
999,50
1000,74
1001,69
1002,52
1003,51
1004,59
1005,63
1006,69
1007,44
1008,84
1009,55
1010,52
1011,68
1012,51
1013,62
1014,80
1015,61
1016,64
1017,53
1018,67
1019,63
1020,39
1021,63
1022,68
1023,45
1024,69
1025,60
1026,70
1027,48
1028,34
1029,69
1030,52
1031,68
1032,62
1033,56
1034,65
1035,53
1036,52
1037,62
1038,68
1039,54
1040,51
1041,66
1042,55
1043,50
1044,53
1045,51
1046,68
1047,43
1048,72
1049,47
1050,65
1051,61
1052,42
1053,67
1054,57
1055,34
1056,49
1057,45
1058,56
1059,30
1060,51
1061,49
1062,47
1063,64
1064,68
1065,70
1066,47
1067,53
1068,72
1069,63
1070,74
1071,51
1072,68
1073,65
1074,58
1075,49
1076,66
1077,61
1078,72
1079,52
1080,72
1081,46
1082,71
1083,70
1084,62
1085,54
1086,60
1087,69
1088,58
1089,58
1090,74
1091,39
1092,69
1093,50
1094,62
1095,60
1096,71
1097,52
1098,75
1099,67
1100,71
1101,65
1102,59
1103,70
1104,54
1105,37
1106,50
1107,55
1108,56
1109,68
1110,60
1111,66
1112,60
1113,57
1114,61
1115,66
1116,46
1117,49
1118,39
1119,76
1120,67
1121,29
1122,55
1123,45
1124,58
1125,50
1126,57
1127,56
1128,57
1129,56
1130,83
1131,62
1132,71
1133,55
1134,66
1135,49
1136,50
1137,60
1138,60
1139,36
1140,60
1141,48
1142,58
1143,72
1144,48
1145,60
1146,59
1147,47
1148,57
1149,62
1150,57
1151,65
1152,46
1153,8
1154,50
1155,58
1156,36
1157,57
1158,61
1159,67
1160,54
1161,69
1162,71
1163,70
1164,66
1165,68
1166,61
1167,60
1168,75
1169,71
1170,60
1171,56
1172,49
1173,56
1174,49
1175,53
1176,37
1177,68
1178,57
1179,57
1180,72
1181,72
1182,79
1183,58
1184,61
1185,35
1186,45
1187,77
1188,69
1189,64
1190,76
1191,62
1192,75
1193,54
1194,68
1195,62
1196,50
1197,65
1198,61
1199,77
1200,52
1201,64
1202,53
1203,56
1204,66
1205,60
1206,65
1207,62
1208,58
1209,67
1210,73
1211,48
1212,54
1213,41
1214,62
1215,45
1216,49
1217,54
1218,59
1219,45
1220,60
1221,64
1222,62
1223,37
1224,84
1225,68
1226,53
1227,51
1228,34
1229,50
1230,61
1231,59
1232,51
1233,80
1234,57
1235,65
1236,74
1237,82
1238,46
1239,47
1240,66
1241,44
1242,57
1243,73
1244,59
1245,56
1246,61
1247,66
1248,73
1249,48
1250,39
1251,91
1252,68
1253,45
1254,54
1255,45
1256,67
1257,68
1258,49
1259,71
1260,72
1261,61
1262,60
1263,52
1264,57
1265,65
1266,68
1267,63
1268,69
1269,61
1270,59
1271,61
1272,75
1273,66
1274,40
1275,44
1276,53
1277,77
1278,35
1279,57
1280,54
1281,65
1282,62
1283,37
1284,61
1285,71
1286,63
1287,70
1288,57
1289,68
1290,29
1291,64
1292,63
1293,57
1294,53
1295,50
1296,79
1297,69
1298,65
1299,67
1300,66
1301,62
1302,47
1303,64
1304,73
1305,64
1306,64
1307,61
1308,65
1309,79
1310,71
1311,64
1312,48
1313,68
1314,67
1315,49
1316,61
1317,52
1318,71
1319,62
1320,71
1321,67
1322,57
1323,74
1324,32
1325,50
1326,55
1327,45
1328,68
1329,72
1330,58
1331,46
1332,50
1333,68
1334,74
1335,69
1336,43
1337,48
1338,82
1339,66
1340,43
1341,61
1342,64
1343,60
1344,32
1345,54
1346,33
1347,37
1348,59
1349,72
1350,74
1351,67
1352,64
1353,51
1354,37
1355,46
1356,65
1357,39
1358,74
1359,72
1360,47
1361,56
1362,77
1363,58
1364,56
1365,54
1366,54
1367,47
1368,63
1369,49
1370,60
1371,72
1372,69
1373,65
1374,69
1375,59
1376,59
1377,62
1378,70
1379,75
1380,71
1381,72
1382,59
1383,64
1384,54
1385,61
1386,51
1387,54
1388,49
1389,64
1390,45
1391,60
1392,48
1393,67
1394,58
1395,46
1396,52
1397,60
1398,52
1399,63
1400,45
1401,55
1402,54
1403,65
1404,62
1405,52
1406,57
1407,36
1408,55
1409,67
1410,33
1411,64
1412,78
1413,83
